Date,Price
01/12/1914,55
01/01/1915,56.55
01/02/1915,56
01/03/1915,58.3
01/04/1915,66.45
01/05/1915,65.95
01/06/1915,68.4
01/07/1915,71.85
01/08/1915,79.25
01/09/1915,85.5
01/10/1915,92.35
01/11/1915,94.35
01/12/1915,97
01/01/1916,94.7
01/02/1916,93.55
01/03/1916,93.3
01/04/1916,89.75
01/05/1916,90.15
01/06/1916,90.65
01/07/1916,88.45
01/08/1916,91
01/09/1916,97.45
01/10/1916,102.1
01/11/1916,107.9
01/12/1916,98.5
01/01/1917,97.15
01/02/1917,90.95
01/03/1917,94.65
01/04/1917,93.9
01/05/1917,93.35
01/06/1917,96.95
01/07/1917,92.9
01/08/1917,88.65
01/09/1917,83.6
01/10/1917,79.05
01/11/1917,71.4
01/12/1917,70.2
01/01/1918,76.6
01/02/1918,79.95
01/03/1918,78.05
01/04/1918,77.65
01/05/1918,81.05
01/06/1918,80.45
01/07/1918,81.85
01/08/1918,81.95
01/09/1918,82.5
01/10/1918,86.25
01/11/1918,84
01/12/1918,82.5
01/01/1919,81.65
01/02/1919,82.45
01/03/1919,86.55
01/04/1919,91.15
01/05/1919,99.4
01/06/1919,103.6
01/07/1919,109.7
01/08/1919,103.25
01/09/1919,108.2
01/10/1919,113.9
01/11/1919,111.6
01/12/1919,105.8
01/01/1920,105.9
01/02/1920,96.5
01/03/1920,97.95
01/04/1920,99.45
01/05/1920,91.1
01/06/1920,91.7
01/07/1920,90.7
01/08/1920,85.25
01/09/1920,86.5
01/10/1920,84.85
01/11/1920,79.3
01/12/1920,72.2
01/01/1921,74.75
01/02/1921,75.7
01/03/1921,75.05
01/04/1921,77
01/05/1921,76.7
01/06/1921,69.2
01/07/1921,68.6
01/08/1921,66.95
01/09/1921,69.35
01/10/1921,71.7
01/11/1921,75.7
01/12/1921,79.8
01/01/1922,80.6
01/02/1922,83.75
01/03/1922,87.2
01/04/1922,91.3
01/05/1922,93.95
01/06/1922,93.55
01/07/1922,95
01/08/1922,98.5
01/09/1922,99.2
01/10/1922,99.75
01/11/1922,95.75
01/12/1922,97
01/01/1923,98.2
01/02/1923,100.8
01/03/1923,103.9
01/04/1923,100.55
01/05/1923,95.5
01/06/1923,92.55
01/07/1923,89.3
01/08/1923,90.45
01/09/1923,90.75
01/10/1923,88.15
01/11/1923,90.65
01/12/1923,94.1
01/01/1924,97.8
01/02/1924,98.8
01/03/1924,95.6
01/04/1924,91.95
01/05/1924,90.4
01/06/1924,93.3
01/07/1924,99.25
01/08/1924,103.55
01/09/1924,102.9
01/10/1924,101.65
01/11/1924,107.65
01/12/1924,115.45
01/01/1925,121.55
01/02/1925,120.45
01/03/1925,120.35
01/04/1925,119.7
01/05/1925,125.55
01/06/1925,128.9
01/07/1925,133.9
01/08/1925,138.85
01/09/1925,142.45
01/10/1925,150.65
01/11/1925,153.8
01/12/1925,154.55
01/01/1926,156.1
01/02/1926,158.4
01/03/1926,144.25
01/04/1926,140.55
01/05/1926,140.3
01/06/1926,148.15
01/07/1926,156.8
01/08/1926,163.5
01/09/1926,161.2
01/10/1926,152.7
01/11/1926,153.95
01/12/1926,159.3
01/01/1927,154.65
01/02/1927,158.15
01/03/1927,160.1
01/04/1927,164.05
01/05/1927,168.8
01/06/1927,168.85
01/07/1927,175.35
01/08/1927,183.85
01/09/1927,195.3
01/10/1927,189.8
01/11/1927,189.95
01/12/1927,198
01/01/1928,198.95
01/02/1928,195.35
01/03/1928,204.5
01/04/1928,212.45
01/05/1928,216.3
01/06/1928,211.5
01/07/1928,210.85
01/08/1928,227.25
01/09/1928,239.3
01/10/1928,247.45
01/11/1928,274.9
01/12/1928,278.65
01/01/1929,307.25
01/02/1929,309
01/03/1929,308.85
01/04/1929,309.2
01/05/1929,310.25
01/06/1929,316.45
01/07/1929,341.45
01/08/1929,359.15
01/09/1929,362.35
01/10/1929,291.5
01/11/1929,228.2
01/12/1929,247.2
01/01/1930,255.65
01/02/1930,267.4
01/03/1930,278.25
01/04/1930,285.5
